doc_id,User Names,Reviews,cleaned_data,sentiments
10,jeffbrewer-90703,This truly was a perfect film. Joaquin Phoenix takes the audience on a journey into madness. Phoenix puts on one of the best performances I've ever seen in movie history. It really felt like you were witnessing a man go insane. I had high expectations for this and it did not disappoint!,this truly perfect film joaquin phoenix takes audience journey madness phoenix puts one best performances ive ever seen movie history it really felt like witnessing man go insane i high expectations disappoint,positive
11,ocosis,"There are moments here, where the lights in Joaquin Phoenix's / Arthur's eyes are so piercing, and so focused, that you are totally drawn into his performance and transformation into Joker. There are so many iconic scenes in this movie, so many, that, to me, make this film an instant classic.

And that's what Joker is.",there moments lights joaquin phoenixs arthurs eyes piercing focused totally drawn performance transformation joker there many iconic scenes movie many make film instant classicand thats joker,positive
12,ianquaidballinger,Society can't treat us gamers this way any longer. Gamers are the most oppressed group in history and it shows. Joker is a modern masterpiece. Nicker Nation rise up,society cant treat us gamers way longer gamers oppressed group history shows joker modern masterpiece nicker nation rise,negative
13,chornby-87034,"Amazing! Amazing! Brilliant acting, fantastic scrip and this will keep you captivated throughout. The best film I've seen in years. Thought provoking too about mental health which is a good thing but if you don't look beyond the film itself for any reasoning behind his downfall it's just a fantastic piece of work.",amazing amazing brilliant acting fantastic scrip keep captivated throughout the best film ive seen years thought provoking mental health good thing dont look beyond film reasoning behind downfall fantastic piece work,positive
14,edimilson-93237,"It's obvious I would say this movie is amazing, it gave me some feels this and that, but guys, pls don't let this movie diminish it's rating to 8, of all the movies that came out from 2010 to 2019, at least one should be 9/10, Endgame tried, almost succeeded, now let's leave Joker 9/10 pls",its obvious i would say movie amazing gave feels guys pls dont let movie diminish rating movies came least one endgame tried almost succeeded lets leave joker pls,negative
15,muhammadmoazikhlas,"This film is definitely a masterpiece. This is probably the most realistic film I've seen since The Dark Knight. The color grading, the soundtracks, the costumes, and overall EVERYTHING is phenomenal. Truly an Oscar Worthy performance by Joaquin Phoenix, Robert De Niro, and others. This film mainly depicts on mental illness, rich vs poor, and what would happen to a person if society doesn't treat him/her well. NO JOKE YOU SHOULD WATCH THIS FILM!!!",this film definitely masterpiece this probably realistic film ive seen since the dark knight the color grading soundtracks costumes overall everything phenomenal truly oscar worthy performance joaquin phoenix robert de niro others this film mainly depicts mental illness rich vs poor would happen person society doesnt treat himher well no joke you should watch this film,positive
16,thetyvonlesure,"Joker is a contemporary example of a chef-d'oeuvre. It's a monumental piece of art. In essence, it's a masterpiece. Joker stars Joaquin Phoenix in a once in a lifetime portrayal of an iconic comic book villain. Barring any connection to the source material, Joker stands on its own as a film that will be upheld in the annals of the decade's best films.

Joker stars Joaquin Phoenix as Arthur Fleck, a mentally unstable man who is trying to find his place in a society that rejects him. Phoenix's portrayal of Arthur is perfection. Phoenix captures the essence of life with mental illness. In a career with so many masterful character portrayals, this is the one that viewers will cite as Phoenix's crown jewel. The emotion within the film supersedes great acting by taking a step into reality. Arthur Fleck is a character that is written so well and so real that it hurts. Where much of the media stigmatizes mental illness, the character of Arthur Fleck humanizes it.

The cinematography in this movie is incredible. 2019 has been a year of great camera work, and this film spearheads the year. There are many iconic scenes layered throughout the film that are phenomenally shot. As the movie progresses, the film grows exceptionally in terms of cinematography. At times it is hard to tell whether the movie was shot digitally or on film. Essentially, this movie bridges the gaps between new wave cinema and contemporary cinema in a graceful manner. The lighting used within the film is atmospheric and successfully matches Arthur's mood throughout the film. The cinematography is masterful.

This film is a Dramatic, Psychological Thriller with a great twist. The writing is insanely clever. The suspense is uncanny. The ending is satisfying and chilling. The supporting cast are great. They add weight to Arthur's emotion, successfully building him up and progressing his development. The soundtrack is iconic. The music enhances the overall experience as opposed to watering it down with noise. This film is damn near perfection. Todd Philips and Joaquin Phoenix created a modern masterpiece

Overall, Joker is a classic in the making. It challenges the stigma surrounding mental illness, presenting a narrative coupled with classism. This movie is important. In a zeitgeist where mental instability is a common issue, this film gives voice to the voiceless.",joker contemporary example chefdoeuvre its monumental piece art in essence masterpiece joker stars joaquin phoenix lifetime portrayal iconic comic book villain barring connection source material joker stands film upheld annals decades best filmsjoker stars joaquin phoenix arthur fleck mentally unstable man trying find place society rejects phoenixs portrayal arthur perfection phoenix captures essence life mental illness in career many masterful character portrayals one viewers cite phoenixs crown jewel the emotion within film supersedes great acting taking step reality arthur fleck character written well real hurts where much media stigmatizes mental illness character arthur fleck humanizes itthe cinematography movie incredible year great camera work film spearheads year there many iconic scenes layered throughout film phenomenally shot as movie progresses film grows exceptionally terms cinematography at times hard tell whether movie shot digitally film essentially movie bridges gaps new wave cinema contemporary cinema graceful manner the lighting used within film atmospheric successfully matches arthurs mood throughout film the cinematography masterfulthis film dramatic psychological thriller great twist the writing insanely clever the suspense uncanny the ending satisfying chilling the supporting cast great they add weight arthurs emotion successfully building progressing development the soundtrack iconic the music enhances overall experience opposed watering noise this film damn near perfection todd philips joaquin phoenix created modern masterpieceoverall joker classic making it challenges stigma surrounding mental illness presenting narrative coupled classism this movie important in zeitgeist mental instability common issue film gives voice voiceless,positive
17,kld-62469,One of the best movies ever ✌ oscar worth for phoenix,one best movies ever oscar worth phoenix,positve
18,jacks-50177,"This rendition of the Joker is absolutely nuts! That is simply the only rational way to describe. I went into the movie with very high expectations, and may I say those expectations have been exceeded. The way Phoenix portrays him is so incredible, and the scariest part is that he managed to humanize this psychopath and almost make you pity him. I left the movie theater in a state of shock, not completely comprehending the beauty I just saw. Another thing which was done so beautifully in this movie was the way that it strayed away from the DCU and comic book movies as a whole. If this film could be closely related to any film prior it would be ""Taxi Driver"" by Martin Scorsese. All in all, it was incredible movie that is more than likely to make some serious noise at the upcoming oscars!",this rendition joker absolutely nuts that simply rational way describe i went movie high expectations may i say expectations exceeded the way phoenix portrays incredible scariest part managed humanize psychopath almost make pity i left movie theater state shock completely comprehending beauty i saw another thing done beautifully movie way strayed away dcu comic book movies whole if film could closely related film prior would taxi driver martin scorsese all incredible movie likely make serious noise upcoming oscars,positve
19,rhou-99003,Arthur that be a joker rather be a clown. Finally know how joker distort his mind.,arthur joker rather clown finally know joker distort mind,neutral
20,rebekahgillespie,"Joaquin Phoenix is absolutely superb in this film. I'm not exaggerating when I say this; it's the best acting I have ever seen. He adopts the character like I have never seen before.

The film is very dark and twisted and extremely clever. Quite a hard watch at times. The laughing is harrowing!",joaquin phoenix absolutely superb film im exaggerating i say best acting i ever seen he adopts character like i never seen beforethe film dark twisted extremely clever quite hard watch times the laughing harrowing,positive
21,juliabattah,"First of all, let me start with this review by saying I thought the Joker was overrated, seeing how people immediately go to the next trendy thing at the moment, and so I went there either way to have a good time with friends, and the fuss was underrated, yes this is how much I liked it. Second of all, Joaquin WAS the joker, he wasn't only acting, it was unbelievable to see someone reincarnate such evil character but feeling what he feels and the audience was undoubtedly feeling for him and his hardships in life. I just can't wait for the sequel and to know what it holds.",first let start review saying i thought joker overrated seeing people immediately go next trendy thing moment i went either way good time friends fuss underrated yes much i liked second joaquin was joker wasnt acting unbelievable see someone reincarnate evil character feeling feels audience undoubtedly feeling hardships life i cant wait sequel know holds,negative
22,Migaish,"It's mind-blowing to see how far cinema has changed it's portrayal of mentally ill individuals. A dark, beautifully macabre film that always leaves you guessing. There's a lot to unpack but I highly recommend this film, it's something you have to sit down a focus on, but it's incredibly thought provoking",its mindblowing see far cinema changed portrayal mentally ill individuals a dark beautifully macabre film always leaves guessing theres lot unpack i highly recommend film something sit focus incredibly thought provoking,positive
23,angelina-72990,"First of all, please do not compare Joaquin Phoenix's Joker with Heath Ledger's Joker. We are lucky to see two actors playing a very difficult character of Joker brilliantly in their own ways. They are both so good, they are both legends!

In terms of movie, Joker origin story is something very new and very much needed. It has always been emphasized in the DC world that Gotham was irredeemable, that the people were so corrupted that the city was beyond saving. But the reason behind it was never shown. The story has always been told from Batman's point of view. This storytelling is so brilliant, you really sympathize and understand why Joker is what it is. If you see Dark Knight just after this, Joker's love for chaos will make total sense.

It's good to see such a realistic cinema with characters having so much depth. The level of acting and movie making is legendary. Hats off!

Yes the hype is real. Do not miss this masterpiece.",first please compare joaquin phoenixs joker heath ledgers joker we lucky see two actors playing difficult character joker brilliantly ways they good legendsin terms movie joker origin story something new much needed it always emphasized dc world gotham irredeemable people corrupted city beyond saving but reason behind never shown the story always told batmans point view this storytelling brilliant really sympathize understand joker if see dark knight jokers love chaos make total senseits good see realistic cinema characters much depth the level acting movie making legendary hats offyes hype real do miss masterpiece,positive
24,benjaminsieur,"Phoenix is the best he's ever been. The best anyone's ever been. The score and soundtrack is fantastic. The cinematography is great. The writing is amazing. The set, costume and production design are incredible. The film is phenomenal and if it gets snubbed at the Oscars it is officially an unnecessary and completely commercial not at all critical film award ceremony.",phoenix best hes ever the best anyones ever the score soundtrack fantastic the cinematography great the writing amazing the set costume production design incredible the film phenomenal gets snubbed oscars officially unnecessary completely commercial critical film award ceremony,positive
25,masonbriody,"Speechless, words cannot express how much I love this movie but numbers can. So 10/10",speechless words cannot express much i love movie numbers so,positive
26,masonbriody,,,
27,masonbriody,I've watched this film twice so far and I know I'm gonna watch it more times this movie deserves more praise than it already has.,ive watched film twice far i know im gonna watch times movie deserves praise already,positive
28,masonbriody,"Joker is not only Oscar worthy for Joaquin Pheonix's stunning performance but also the well written and directed story that is brought to the big screen. I thought all the hype was ridiculous and the movie was overrated but after watching it, I consider it to be one of the best films of all time. A film has never gripped me with such an emotional experience by maintaining the perspective of the disturbed Arthur Fleck from start to finish.",joker oscar worthy joaquin pheonixs stunning performance also well written directed story brought big screen i thought hype ridiculous movie overrated watching i consider one best films time a film never gripped emotional experience maintaining perspective disturbed arthur fleck start finish,negative
29,usalmalay,Great and atmospheric movie. Interesting story. Full of bright colors. Great work worthy of the DC universe.,great atmospheric movie interesting story full bright colors great work worthy dc universe,positive
30,gamersinfuzed,"Just saw the movie in a midnight premiere in our local and favorite movie theater, and all I can say is thank you! Thank you Mr. Phoenix for a truly awesome, lovable and emotional performance, thank you Mr. Phillips for your creativity and writing. When it comes to Batman and all of Gothams citizens in the movies I'm always pretty sceptic wether they'll be played and portrait right, but when Mr. Phoenix was announced as the next Joker I knew there was no need to worry, then came the first teasers and trailers and my hope grew bigger, and now all I can say is thank you!!",just saw movie midnight premiere local favorite movie theater i say thank thank mr phoenix truly awesome lovable emotional performance thank mr phillips creativity writing when comes batman gothams citizens movies im always pretty sceptic wether theyll played portrait right mr phoenix announced next joker i knew need worry came first teasers trailers hope grew bigger i say thank,neutral
31,nocturn-07199,"Everyone should watch this movie, I would describe it with only one word and that is masterpiece. I'm sute Phoenix will win Oscar foe this.",everyone watch movie i would describe one word masterpiece im sute phoenix win oscar foe,positive
32,lucioperini,This is one of the best films have ever made from a HQ. Todd Phillips teaches how to produce a film from heroes universe and to be deep. He entered on the mental issues that our generation suffer nowadays.,this one best films ever made hq todd phillips teaches produce film heroes universe deep he entered mental issues generation suffer nowadays,positive
33,alfredocardozo-59753,Awesome movie. One of the best movies I've ever seen in the past years. Just incredible.,awesome movie one best movies ive ever seen past years just incredible,positive
34,blanbrn,"Many of us over the years have been attached and thrilled with the ""Clown Prince of Crime"" as D.C. comic fans know as the one and only ""Joker"". And we've seen different takes and spins from Romero's camp, to Ledger's dark wild crazy turn, and the man the one and only Jack played the clown with vanity and brought a proper turn to a bad guy while having fun(Nicholson's ""Joker"" was like that of the late 70's early 80's ""Joker"" in D.C. comics) now enter Phoenix who's much different with a creepy origin story.

Set in the early 1980's Gotham city is gritty, raw and the social and political climate is in the gutter as just getting by is so tough. And just tip toeing and dancing his way thru the drama is Arthur Fleck(in a hell of a turn from Joaquin at least nominate him for a ""Golden Globe"" or ""Oscar"") a lonely and depressed mommies boy who's a skinny starving clown who just can't fit in he's a society misfit. It's really somewhat of a sad character study.

However hope is possible in the form of Fleck wanting to get away from being a clown for children as his real dream is to be a standup comedian as his smile and crazy lasting laugh is always present! As laughter is the cure for his pain! His hope of escape is to appear on a late night talk show hosted by Murray Franklin(Robert De Niro) where Arthur hopes to showcase his talents. Also the only other wild card pleasure he has in his life is dating a single mom named Sophie(Zazie Beetz) from his apartment building. And his sick mother Penny keeps Arthur hanging on with love and hope as that keeps him hanging on.

Only secrets and ghost of the past and painful memories only destroy the fragile mind of Arthur even more as a connection to millionaire Thomas Wayne is revealed and even more shattering is how this connection and more events will lead to ""The Dark Knight"". Great and excellent work from director Todd Phillips who despite making a stand alone dark character study still connects things up with others in the D.C. universe.

Many might see this picture as a dark tragedy I think it's a take and spin on how one is affected by life and then they take on a different role after years of being abused and mistreated in the world by it's people. Still this film is excellent because it's unique and finally glad a stand alone movie celebrates ""The Joker""(the greatest comic book bad guy ever!) As Joaquin's performance was raw, gritty, and a lashing out of some payback to society. Wow enough said best D.C. comics character study ever made!",many us years attached thrilled clown prince crime dc comic fans know one joker and weve seen different takes spins romeros camp ledgers dark wild crazy turn man one jack played clown vanity brought proper turn bad guy funnicholsons joker like late early joker dc comics enter phoenix whos much different creepy origin storyset early gotham city gritty raw social political climate gutter getting tough and tip toeing dancing way thru drama arthur fleckin hell turn joaquin least nominate golden globe oscar lonely depressed mommies boy whos skinny starving clown cant fit hes society misfit its really somewhat sad character studyhowever hope possible form fleck wanting get away clown children real dream standup comedian smile crazy lasting laugh always present as laughter cure pain his hope escape appear late night talk show hosted murray franklinrobert de niro arthur hopes showcase talents also wild card pleasure life dating single mom named sophiezazie beetz apartment building and sick mother penny keeps arthur hanging love hope keeps hanging ononly secrets ghost past painful memories destroy fragile mind arthur even connection millionaire thomas wayne revealed even shattering connection events lead the dark knight great excellent work director todd phillips despite making stand alone dark character study still connects things others dc universemany might see picture dark tragedy i think take spin one affected life take different role years abused mistreated world people still film excellent unique finally glad stand alone movie celebrates the jokerthe greatest comic book bad guy ever as joaquins performance raw gritty lashing payback society wow enough said best dc comics character study ever made,positive
35,ruanrsc,,,
36,marcomorozzi,Simply few words: perfect performance and stunning movie,simply words perfect performance stunning movie,positive
37,sandipbhusal-28012,"Joker is one of a kind comic book movie. Packed with top notch cinematography and Phoenix's career best acting, this movie is the best to come out in years.",joker one kind comic book movie packed top notch cinematography phoenixs career best acting movie best come years,positive
38,reagansteyn,"This movie is as dark and morbid as they come. Don't expect this film to have anything to do with Batman or even the joker. They could've just made a film about a random person that struggles with mental health issues and it would've been a winner. Yes, it's a film about how the Joker came to be but for me, it was more than that. There's a much darker yet relatable story that it tells. It's almost a documentary about the very real illness that MANY of us face but are too scared to reveal until breaking point. The addition of the Joker, well, that's just a bonus. It's not often that a film can make you sympathise with the villain especially after some of the gruesome acts he does, yet, somehow by the end, you can't help but be on his side which actually makes you feel a little uncomfortable after the movies over. Brilliant film, incredible acting and certainly plays on your mind for a while after.",this movie dark morbid come dont expect film anything batman even joker they couldve made film random person struggles mental health issues wouldve winner yes film joker came theres much darker yet relatable story tells its almost documentary real illness many us face scared reveal breaking point the addition joker well thats bonus its often film make sympathise villain especially gruesome acts yet somehow end cant help side actually makes feel little uncomfortable movies brilliant film incredible acting certainly plays mind,negative
39,bioscopewala,"Joaquin Phoenix as an actor has evolved and has created a name for himself. He has been on my radar since Signs and with every movie he has amazed me with his repertoire of talent. A movie that has been etched in my memory is Her. So with these expectations I watched Joker and I was not disappointed. This is the closest and the best origin story. I initially thought it would be an ordinary action flick pleasing everyone considering the director Todd Phillips who is known for The Hangover but I was wrong. This is a movie that every one will relate to, we all have a dark side, we all have felt or are lonely, and we do find society absurd though we conform. The way Joaquin breathes life into the character of Arthur a failed comedian and his slow transformation into Joker is definitely going to be taught at film schools....the finest piece of acting I have seen in ages. With Joker he has surpassed De Niro and DiCaprio in acting. Every other aspect of the movie is superb the haunting music, the dialogues the way it's shot and it is in every way relatable to what is happening today with the pandemic. Chaos. Watch it on repeat!!!!!",joaquin phoenix actor evolved created name he radar since signs every movie amazed repertoire talent a movie etched memory her so expectations i watched joker i disappointed this closest best origin story i initially thought would ordinary action flick pleasing everyone considering director todd phillips known the hangover i wrong this movie every one relate dark side felt lonely find society absurd though conform the way joaquin breathes life character arthur failed comedian slow transformation joker definitely going taught film schoolsthe finest piece acting i seen ages with joker surpassed de niro dicaprio acting every aspect movie superb haunting music dialogues way shot every way relatable happening today pandemic chaos watch repeat,positive
40,prenticecalligan,This movie was amazing! This storyline seems really realistic and possible. I like how it deals with health topics nobody wants to publicly talk about.,this movie amazing this storyline seems really realistic possible i like deals health topics nobody wants publicly talk,positive
41,as-39295,Oscar movie and acting .... Congrats for everyone who delivered this masterpiece to us ... Joaquim best actor or nothing,oscar movie acting congrats everyone delivered masterpiece us joaquim best actor nothing,positive
42,MacReadysBeard,"Joaquin phoenix is amazing in this role. In arthur fleck he gives you the full on creeps , he takes you on a journey into the mind of a madman and he makes you pity him. The film has a gritty early scorsese feel to it. 2 hours well spent . Dont take my word for it go see it. If Joaquin isnt up for an oscar because of this role i'll be shocked",joaquin phoenix amazing role in arthur fleck gives full creeps takes journey mind madman makes pity the film gritty early scorsese feel hours well spent dont take word go see if joaquin isnt oscar role ill shocked,positive
43,alexsafford,"'Joker' is a huge breath of fresh air to the movie industry at the moment. The amount of mundane films that have been released in recent years has become somewhat tiresome. This film has set the bar for 2019's films.

'Joker' is a very educational film and is a real eye opener to the current state of affairs in terms of the oppression in society, more specifically, the lower class.

The film is paced brilliantly, is the perfect length, was never once boring and just outright engaging. So captivating and heart wrenching to watch that it really leaves you feeling stunned.

Cannot recommend this film enough",joker huge breath fresh air movie industry moment the amount mundane films released recent years become somewhat tiresome this film set bar filmsjoker educational film real eye opener current state affairs terms oppression society specifically lower classthe film paced brilliantly perfect length never boring outright engaging so captivating heart wrenching watch really leaves feeling stunnedcannot recommend film enough,positive
44,eonian-85028,"I Was not expecting this movie to be such a masterpiece at every single level. It is truly what a movie should be: transporting you in the psyche of someone that is not you and make you relate to this person in some strange way. I'm speechless by how incredible it was, how I was taken by surprise... We knew Phoenix to be a great actor for twisted vilain since Gladiator , but now it is going to be impossible to imagine the Joker without him playing it. There is such depth in his acting, such a raw interpretation of mental illness. I'm just baffled how he is able to carry the movie and this level of intensity from the first minute to the last one on -almost- a stand alone performance. Very impressive performance that make some A list actors look like amateur who can only play themselves. As an origin story for the joker, it brings so much depth to this DC character and thinking of the Joker now in previous Batman movie, make him become such an interesting vilain.

As a final note, I loved how they twisted the birth of Batman and kept the previous work done with Batman begins coherent but slightly different.

I thought before that DC was doing a poor job transposing their universe and character to the big screen (except for Batman Begins) but man, this movie changed my mind! Congrats to all the team who work on making this move a reality, and a standing ovation to Mr Phoenix for granting us of such an acting performance. Already a classic!",i was expecting movie masterpiece every single level it truly movie transporting psyche someone make relate person strange way im speechless incredible i taken surprise we knew phoenix great actor twisted vilain since gladiator going impossible imagine joker without playing there depth acting raw interpretation mental illness im baffled able carry movie level intensity first minute last one almost stand alone performance very impressive performance make a list actors look like amateur play as origin story joker brings much depth dc character thinking joker previous batman movie make become interesting vilainas final note i loved twisted birth batman kept previous work done batman begins coherent slightly differenti thought dc poor job transposing universe character big screen except batman begins man movie changed mind congrats team work making move reality standing ovation mr phoenix granting us acting performance already classic,neutral
45,mahdiy-89469,"Joker is a masterpiece unlike any CBM(comic book movie) that has come before it.

It touches on topics that are extremely relevant in today's society such as mental health, modern-day crime and corruption, and moral bankruptcy through the journey of the main character, Arthur Fleck. He is a man with high hopes and dreams at the beginning of the film who struggles to make things work for himself due to his mental instability and inability to fit in. All the unfortunate events that take place transform Arthur into the infamous big bad of Gotham we all know, the Joker.

Joaquin Phoenix absolutely kills it in this movie. His poignant performance gave the movie what it needed in telling its dark and gritty story and is arguably the best Joker performance ever. The musical score was spot on and gave the movie the melancholic feel it sought to instill in its viewers. The film was aesthetically striking and a beauty to watch.

This was a film whose main character I heavily sympathized with and one that made me reflect on how we treat and regard those who are less fortunate. The film delivers a very powerful message about modern society.",joker masterpiece unlike cbmcomic book movie come itit touches topics extremely relevant todays society mental health modernday crime corruption moral bankruptcy journey main character arthur fleck he man high hopes dreams beginning film struggles make things work due mental instability inability fit all unfortunate events take place transform arthur infamous big bad gotham know jokerjoaquin phoenix absolutely kills movie his poignant performance gave movie needed telling dark gritty story arguably best joker performance ever the musical score spot gave movie melancholic feel sought instill viewers the film aesthetically striking beauty watchthis film whose main character i heavily sympathized one made reflect treat regard less fortunate the film delivers powerful message modern society,positive
46,RinoBortone91,"Watched it on day one, it's more than two months and I still have goosebumps. The movie isn't that original, isn't something that you haven't seen before, but it's original in its purpose and vision. Todd, Joaquin and the whole working team had made one of the most iconic movies of all time portraying a different and original version of the Joker we all know but he's a metal ill, twisted and a suffering man that tries to be loved, understood, he wants his tears to be dried and he wants to be one of us, but he can't, he knows he can't and for that he'll become something else, choosing a path that himself seems to not accept. Joker earns 10 stars from me, not only because it's a magnificent movie, but because it's easily recognisable and it will stuck in your minds as most of icons movies from the past has done with your mind. Last but not least: Oscar-worthy ? All-in.",watched day one two months i still goosebumps the movie isnt original isnt something havent seen original purpose vision todd joaquin whole working team made one iconic movies time portraying different original version joker know hes metal ill twisted suffering man tries loved understood wants tears dried wants one us cant knows cant hell become something else choosing path seems accept joker earns stars magnificent movie easily recognisable stuck minds icons movies past done mind last least oscarworthy allin,positive
47,zerooscar,"I don't know what you call this, but it's not a movie. This is like.. biblical. It's like hearing a pastor preach about bible stories and then one day, God shows up and reveals what actually, and really happened, and it blows your mind away on levels you never before imagined. That's what this is. It is revealing and I'm not sure why the Director / Producers would do what they have done here, with this Masterpiece. They have laid strokes NO ONE can follow today. They will have to watch what they eat, what they drink, where they go, 24/365 security for them now. They have done this to themselves because envy is a hell of a thing. Congratulations on a film so well done, in my opinion, it is unmatched. The only ones that comes close is Amadeus and The Matrix.",i dont know call movie this like biblical its like hearing pastor preach bible stories one day god shows reveals actually really happened blows mind away levels never imagined thats it revealing im sure director producers would done masterpiece they laid strokes no one follow today they watch eat drink go security they done envy hell thing congratulations film well done opinion unmatched the ones comes close amadeus the matrix,neutral
48,kosy-62100,"This movie is a masterpiece! The acting and character development is one of a kind. Not your typical kid friendly action hero movie (I was hoping it wouldn't be). Instead, it tells the story of a deeply disturbed man and his rise to power. A psychological work of art.

A must see!",this movie masterpiece the acting character development one kind not typical kid friendly action hero movie i hoping wouldnt instead tells story deeply disturbed man rise power a psychological work arta must see,positive
49,keyhaniomidph,"Phoenix's mesmerizing act is great, Unique story , great design and... The best movie that you could see in this year.",phoenixs mesmerizing act great unique story great design the best movie could see year,positive
50,shashthezarch,Plz its my humble request. Its an amazing movie. Dont let it drop below that overhyped garbage.,plz humble request its amazing movie dont let drop overhyped garbage,negative
